1020					1020,
AmirsFalafel				AMIR'S_FALAFEL,Amir's_Falafel,
AmocoOil				AMOCO_OIL,Amoco_Oil,
AmsterdamCafe				Amsterdam_Cafe,
Amtrack					AMTRAK,Amtrak,
AmysHallmark				AMY'S_HALLMARK,
AnUncommonCafe				AN_UNCOMMON_CAFE@DOEG,
AnabananaKids				ANABANANA_KIDS,
AndaleMexican				ANDALE_MEX_REST_T_3,
AndersonsBookstore			ANDERSONS_BKS,
AndronicosMarketPaloAlto		ANDRONICOS_MARKET_8,
AngiesList				ANGIES_LIST,
AnnReidSchool				AnnReidSchool
AnnTaylor				ANN_TAYLOR,ANNTAYLOR_LOFT,ANNTAYLOR_LOFT.COM,ANNTAYLOR.COM,Ann_Taylor,
ApolloTaxi				SQ_*APOLLO_TAXI_LLC,
AppleBees				APPLEBEES,Applebees_
AppleStore				APPLE_STORE,APPLE_ITUNES_STORE,Apple_Store,APPLEONLINESTOREUS,
Appletree				APPLETREE_SUPERMAR,APPLETREE_SU,Appletree_,
Arabugg					ARABUGG75,
Aramark					ARAMARK,Aramark,
Arbys					ARBY'S,ARBYS_9520,ARBYS_,
ArgoTea					SQ_*ARGO_TEA_,
ArgonneNationalLab			ACT*ANL-HEP,
ArniesPizza				Arnies_Pizza,
AromasSpecialtyCoffee			Aromas_Specialty_Coffe,
ArteCafe				ARTE_CAFE,
ArtopolisCafe				ARTOPOLIS_CAFE,Artopolis_Cafe,
AsianChao				ASIAN_CHAO,Asian_Chao,
Asie					ASIE,
AspenBarAndGrill			ASPEN_BAR_&_GRILL,
AspenBrewingCompany			ASPEN_BREWING_COMPANY,
AspenCenterForPhysics			ASPEN_CENTER,
AspenMeadowsResort			ASPEN_MEADOWS_RESORT,
AspenOverEasyCafe			ASPEN_OVER_EASY_CAFE,
AspenSkiing				ASPEN_SKIING,
AtlantaBread				ATLANTA_BREAD,Atlanta_Bread_Co,
AuBonPain				Au_Bon_Pain,LAGUARDIAAUBONPAIN793A,S_STATION_AUBONPAIN_51,U_CHIC_HOS_AUBONPAIN_1,UCHICHOSP_AUBONPAIN_79,PHILLY_AIR_AUBONPAIN_2,
AuntieAnnes				AUNTIE_ANNES,AUNTIE_ANNE'S,
AutoZone				AUTOZONE,
Aveda					Aveda_Inst_Ny/spring_S,
BANKATM					350_WEST_125TH_STREET_NEW_YORK,19_WEST_JEFFERSON,2139_BROADWAY,430_ROUTE_25A,1962_MIDDLE_COUNTRY_RD,60_NORTH_COUNTRY_ROAD,1767_W.OGDEN_AVE,200_S_Central_Campus,2875_BROADWAY,464_MAIN_STREET,389_Route_25A_,120_Main_St,120_MAIN_ST,
BCCC30thStreet				ccc_-_30Th_Street,
BNLChildCare				To_Chi,BNLChildCare,
BNLWorkTravel				Bnl_Payment,BNL______________PAYMENT,
BPOil					Bp_OIL,BP_ATLAS_1426,WARRENVILLE_BP,1426_NAPERVILLE,1429_TAJANY,TAJANY_BP,Bp_Oil,
BPStore					BP_AM/PM_STORE,
BROil					B_&_R_OIL_704,
BabiesRUs				TOYSRUS-BABIESRUS,BABIES_R_US,
BabyAge					BABYAGE*ONLINE,
BabyCatalog				baby_catalog,
Baileys					BAILEY'S_REST,
BallFactory				BALL_FACTORY,
Bar515					Bar_515,
BarnesAndNoble				BARNES_&_NOBLE,BARNESNOBLE,Barnes_&_Noble,BARNES&NOBLE,
BarnumEq.				Barnum_Eq.,To_Bar,
BarnumHouseLaundry			BarnumHouseLaundry
BassRiverLiquors			BASS_RIVER_LIQUORS,
BeaconWines				BEACON_WINES_&_SPIRITS,
BeanAndBagel				BEAN_AND_BAGEL,
BedBathAndBeyond			Bed_Bath_&_Beyond,
BenAndJerrys				BEN_&_JERRY'S,
BenPao					BEN_PAO,Ben_Pao,
BenjaminMoore				BENJAMIN_MOORE_E-PAINT,J.C._LICHT/NAPERVILLE,
BestBuy					BEST_BUY,Best_Buy,Best_Buy_Mht,BESTBUY.COM,
BestWestern				Bestwestern,
BigTimeBrewery				BIG_TIME_BREWERY,
BiggbyCoffee				BIGGBY_COFFEE,
BinnysBeverageDepot			BINNYS_BEVERAGE_DEPOT,
BistroTen				Bistro_Ten_18,
BizChairOffice				BIZCHAIR_OFFICE,
Blockbuster				BLOCKBUSTER,
BlueSkysCafe				BLUE_SKYS_CAFE,
BlueTalonBistro				Blue_Talon_Bistro_Llc,
BoardwalkGames				BOARDWALK_GAMES,
BobJung					BobJung
BobbysBurgerPalace			BOBBYS_BURGER_PALACE,
Boden					BODEN,
Boingo					BWI*BOINGO,boingo,
BoisJoly				REST_BOIS_JOLY,
BonAppetit				BON_APPETIT,
BookAreFun				BOOKS_ARE_FUN,
Bookmans				BOOKMANS,
Borders					BORDERS_BOOKS,BORDERS_BKS,Borders_Bks,Borders_Airpor,
BostonCommon				BOSTON_COMMON_-_III_BOST,
BostonMBTA				MC-MBTA_-_KENDALL_(RL,
BostonMarket				BOSTON_MARKET,Boston_Market,
BostonUniversity			BU_CONF_(21),
BourbanStreetCafe			BOURBON_STREET_CAFE,
BreaktimeBilliards			BREAKTIME_BILLIARDS,Breaktime_Billiards,
BrewCamp				BREW_CAMP,
BrickLaneCurryHouse			Brick_Lane_Curry_House,
BridgeBarEatin				BRIDGE_BAR_&_EATIN,
BriermereFarms				BRIERMERE_FARMS,
BriocheDoree				BRIOCHE_DOREE_20254850,
BronxZoo				BRONX_ZOO,
BrookfieldZoo				B_ZOO-INTERNET,B_ZOO-_ZOOFARI,B_Zoo-_La_Gran_Cocina,B_Zoo-_Safari,B_Zoo-admissions/park,BZOO-ZOOFARI_SHOPS,
BrookhavenNationalLab			BROOKHAVEN_NATIONAL,BrookhavenNationalLab,
BrookhavenNationalLabSalary		Bnl/Bsa,BNL/BSA,BrookhavenNationalLabSalary,
BrookhavenScienceAssociates		BROOKHAVEN_SCIENCE_ASS,Brookhaven_Scien_T1335810-B,Brookhaven_Scien_T680944-Br,Brookhaven_Scien_T723942-Br,Brookhaven_Science_Ass,
BrooksBrothers				BROOKS_BROTHERS,
BrookstoneRetailStore			MC-BKSTN_RETAIL_STORE,
BrothersMarket				Brothers_Market,BROTHERS_MARKET,
BudgetRentACar				BUDGET_RENT-A-CAR,BUDGET_RENT_A_CAR_TOLL,
BuffaloWildWings			BUFFALO_WILD_WINGS,Buffalo_Wild_Wings,
BuildABear				BUILD-A-BEARWORKSHOP,
BullsEye				TGTGIFTCARD/BULLSEYE,
BumpsRestaurant				BUMPS_RESTAURANT,
BuonItalia				BUON_ITALIA,
BurgerKing				BURGER_KING,Burger_King,
BurritoBeach				BURRITO_BEACH,
BurritoElito				BURRITO_ELITO,
Butera					BUTERA_MARKET,
BuyBuyBaby				BUY_BUY_BABY,
CERNHostel				Cern_Foyer-Hotel,
CHS@SFO					CHS_@_SFO,
CPZRestaurant				CPZ_RESTAURANT,
CVS					CVS_0,CVS_#,CVS_2,CVS_8,
CVSPharmacy				CVS_PHARMACY,CVSPHARMACY_,CVSPHARMACY,Cvs_Pharmacy,
Cablevision				CABLEVISION,Cablevision,
CafeAllegro				CAFE_ALLEGRO,
CafeAtTheKendall			CAFE_AT_THE_KENDALL,
CafeFrida				Cafe_Frida,
CaffeSwish				Caffe_Swish,
CaliforniaPizzaKitchen			CALIFORNIA_PIZZA,
CallFromSwitzerland			CALL_FROM_SWISS_MAR21,
CalvinKlein				CALVIN_KLEIN,Calvin_Klein,
CambridgeCommon				Cambridge_Common,
CampusCopyCenter			Campus_Copy_Center,
CampusDining				CAMPUS_DINING_01000637,
CampusInnHotel				CAMPUS_INN_HOTEL,
CapeCodCreamery				Cape_Cod_Creamery,CAPE_COD_CREAMERY,
CappysCarpet				Cappy's_Carpet,
CapriInn				CAPRI_INN,
CardValidation				CARD_VALIDATION_MAR21,
CareGetActive				CARE_-_GET_ACTIVE,
CaribouCoffee				CARIBOU_COFFEE,Caribou_Coffee_Co,
CarolynSwartz				CarolynSwartz
Carters					CARTER'S,CARTER_S,
CasaDeReyes				CASA_DE_REYES,
Caseys					Caseys,
CaseysFood				CASEY'S_FOOD,
Cash					6383_CLAYTON_RD,2554_BROADWAY,200_TERMINAL_ROAD,11-17_ASHFORD_AVENUE,1215_AMSTERDAM_AVENUE_NEW_YORK,340_AVENUE_OF_AMERICASNEW_YORK,29W710_BATAVIA_RD,
Cash-Warrenville			Cash-Warrenville
CashAdvance				Cash_Advance_Fee,Cash_Adv_Fee,Cash__*_Finance_Charge_*,
CashRedemption				UR-Cash_Redemption,Cash_Redemption,Redemption_Credit,REDEMPTION_CREDIT,
CatamaranResortHotel			CATAMARAN_RESORT_HOTEL,
CellPhoneShop				CELL_PHONE_SHOP,
CentralDupageHospital			Central_Dupage_Hsptl,
CentralMarket				CENTRAL_MARKET,CENTRAL_MARK,
CentralParkZoo				CENTRAL_PARK_ZOO,
CernHostel				Cern_Foyer-H_tel,
CestCheese				CEST_CHEESE,
CharlieChiangsKwai			CHARLIE_CHIANG'S_KWAI,
CharliesSteakHouse			CHARLIES_STEAK_HOUSE,
Chartwells				Chartwells_,Chartwells,
Chase					CHASE,Chase_Epay,CHASE_EPAY_XXXXX0086,
ChaseCreditCardPayment			Payment_-_Thank_You,Payment_to_Chase_card_ending_in,Payment_Thank_You_-_Web,PAYMENT_RECEIVED_,
CheBellaPizza				Che-bella_Pizza,
Check					CHECK_,000000,
ChickFilA				CHICK-FIL-A,
Chilis					CHILI_S,Chili's,Chilis_71,CHILIS_B12_ORD20258166,CHILI'S_GRI,CHILI'S_G_&_G,
ChinaHouse				CHINA_HOUSE,
ChinaMax				CHINA_MAX,
ChinaTownRestaurant			390_BROADWAY/390_BROADWA,
ChineseConsulateGeneral			CONSULATE_GENERAL_CHIN,
Chipotle				CHIPOTLE,Chipotle,
ChocolaterieCanonica			Chocolaterie_Canonica,
ChristianBo				CHRISTIANBO,
CiboExpressGourmet			CIBO_EXPRESS_GOURMET,
Cinnabon				CINNABON,Cinnabon_Nj-tp10931q19,
Citgo					CITGO,ARIANA_&_ZEHRA_CORPQ39,
CityMeatMarket				MC-CITY_MEAT_MARKET,
CityOfNaperville			CITY_OF_NAPERVILLE,REMIT_ONLINE.COM,
Clarks					CLARKS,
ClearyGift				ClearyGift
ClimateHome				CLIMATE_HOME,
ClinicalPractice			CLINICAL_PRACTICE_MGMT,
ClintonFoundation			CLINTON_FOUNDATION,
Coach					COACH,Coach,
Coastal					COASTAL,Coastal,
CoffeeBeanery				COFFEE_BEANERY_4-3B_NO,
CoffeeCorner				COFFEE_CORNER_9,
Coldstone				COLDSTONE,
ColdstoneCreamery			COLDSTN_CREAM,
CollegeInnPub				COLLEGE_INN_PUB,
CollegetownBagels			COLLEGETOWN_BAGELS,
ColorMeMine				COLOR_ME_MINE,
ColumbiaBookstore			Bkst-columbia-uv,
ColumbiaUniversity			Columbia_University,Columbia_Univer,
ColumbiaUniversityAthletics		COLUMBIA_UNIV._ATHLETR,Cu_Athletics_Membershi,
ColumbiaUniversitySalary		COLUMBIA_UNIVERS,COLUMBIA_UNIVER__PAYROLL,COLUMBIA_UNIVER_PAYROLL_10132233,
ColumbiaUniversityTransport		CU_TRANSPORT_SVC_MTR,
ColumbusAirport				4600_INTERNATIONAL_GATCOLUMBUS,
ComfortInn				COMFORT_INNS,Comfort_Inn,
CommodorePerry				COMMODORE_PERRY,
CommunityFoodAndJuice			Community_Food_And_Jui,
CompalSRL				COMPAL_SRL,
CompassBooks				COMPASS_BOOKS,
CongreeConvention			CONGRESS_CONVENTION,
Connollys				CONNOLLY'S,Connolly's_121_W_45Th,
ContinentalAirlines			CONTINEN__00,
ContinentalCafe				CONTINENTAL_CAFE,
ConventionsPsychiatry			CONVENTIONS_PSYCHIATRY,Online_Payment_3671491127_To_Con,Online_Payment_3785430058_To_Con,
CookOut					COOK_OUT,
CookieDoughCreations			MC-COOKIE_DOUGH_CREAT_QAE,
CornerBakery				CORNER_BAKERY,
Cosi					COSI,Cosi,
CosleyZoo				COSLEY_ZOO_,
CostPlus				COSTPLUS,
CountryFair				COUNTRY_FAIR,
CountryHouse				Country_House-geneva,COUNTRY_HOUSE_RESTAURA,
CoupaCafe				COUPA_CAFE,
CourtyardByMarriott			COURTYARD_BY_MARRIOTT,
Craftbar				Craftbar,
CraigsAutoServiceCenter			1410_CRAIGS_AUTO_SEQPS,
Crate&Barrel				Eur*crate&barrel-914_800-967-6696_Il,
CrateAndBarrel				CRATE_&_BARR,
Crazy8					CRAZY_8,CRAZY8.COM,
CreditDueToDebitCardDispute		CREDIT_DUE_TO_DEBIT_CARD_DISPUTE,
CreditReturn				Credit_Return:_Online_Payment_11,
CreditSuisse				CREDIT_SUISSE,
Credit_Card				Payment_Received,
CrepesOnColumbus			Crepes_On_Columbus,
CricketMagazine				CPI*CRICKET_MAGAZINE,
CrocsStore				CROCS_STORE,
CrossSoundDeli				CROSS_SOUND_DELI_SERV_NE,CROSS_SOUND_DELI_SERVI,
CrossSoundFerry				CROSS_SOUND_FERRY,
CurryClub				The_Curry_Club,CURRY_CLUB,
CurryLeaf				CURRY_LEAF_FINE_INDIAN,
D'angelos				D'angelos,
DAGOSTINOS				D'AGOSTINO_S,
DNCTravel				DNC_TRAVEL_-_SENEC,DNC_TRAVEL_-_CLARE,DNC_TRAVEL_-_DETRO,
DSW					DSW_,
DaGennaroRestaurant			DA_GENNARO_RESTAURANT,
DairyQueen				Dairy_Queen,DAIRY_QUEEN,
Damariscotta				Damariscotta,
Danastig				DANASTIG
DauneReade				DUANE_READE,Duane_Reade,
DeaBaby					DEA_BABY,
DeanAndDeluca				DEAN_&_DELUC,
DebitCardProvisionalCredit		DEBIT_CARD_PROVISIONAL_CREDIT,
DeliceDeFrance				DELICE_DE_FRANCE,
Delta					Delta,
DeltaAirlines				DELTA,
Deluxe					Deluxe_,Deluxe,
DeluxeCheck				DELUXE_CHECK,
DennysRestaurant			DENNYS_RESTAURANT,
DestinationMaternity			DESTINATIONMA,
Diapers.com				DIAPERS.COM,QI_*DIAPERS.COM,
DicksSportingGoods			DICK'S_SPORTING_GOODS,
DigitalPhotoFinishing			DIGITAL_PHOTO_FINISHIN_,
DiscountTire				DISCOUNT-TIR,DISCOUNT_TIR,
DishCafe				Dish_Cafe,
Disney.com				DIS*DISNEYSHOPPING.COM,
DisneyStore				disney_stope,DISNEY_STORE,
Dollar					DOLLAR_RAC_MDW,
Dominicks				DOMINICKS,Dominicks_,
Doostang				DOOSTANG_INTERNATIONAL,
DosCaminos				Dos_Caminos_Soho,
DotComMidway				Dot_Com,
DrAtCentralParkWest			DrAtCentralParkWest
DrGidwani				DrGidwani
DrugMart				MC-DRUG_MART,
Drugstore				DRUGSTORE,
DuPageValleyAnesthesia			DU_PAGE_VALLEY_ANESTHE,
DunkinDonuts				DUNKIN,Dunkin,Dd/br,DD/BR,
DupageChildrensMuseum			DUPAGE_CHILDRENS_MUSEU,
DupageMedicalGroup			DUPAGE_MEDICAL_GROUP,Dupage_Medical_Group,
EZGasoline				EZ_GASOLINE,
EarlyPregnancyTest			Early_Pregnancy_Test_3603035207_Wa,
EastChinaInn				East_China_Inn,
EasyShoppe				SQ_*EASY_SHOPPE,
EatPiada				EAT_PIADA,
Ebags.com				EBAGS.COM,
EddieBauer				EDDIE_BAUER,Eddie_Bauer,E_BAUER,E_Bauer,EDDIEBAUER,EB_SMITH_HAVEN,
EducationAndPsycho			EDUCATIONAL_AND_PSYCHO,
EdwardHealthAndFitness			EDWARD_HLTH_&_FITNESS,EDW_FITNESS_MEM_SERV1,
EdwardHospital				EDWARD_HOSP_CASHIER,ASSOCPATHCONSEDWRD4387,
EggsInc					EGGS_INC,
Eggsperience				EGGSPERIENCE,
EinsteinBrothers			EINSTEIN_BRO_BAGELS_Q8,EINSTEIN_BROS,Einstein_Bros,
ElPortonBar				l_Porton_Bar&mex.rest_New__York_Ny,
EmiliosTapas				EMILIOS_TAPAS,
EmpanadaJoes				Empanada_Joe,
EnjoyYourShow				ENJOYYOURHO,
EnterpriseRentACar			ENTERPRISE_RENT-A-CAR,
Equifax					Equifax_Consumer,
EspressoRoyale				ESPRESSO_ROYALE_40,
Esprit					ESPRIT,
Esso					ESSO_165_OMER_MARCIL_B,
EurestDining				EUREST_DINING_11076304,EUREST_DINING-11076304,
EuropanCafe				Europan_Cafe_Llc_Q41,
Expedia					EXPEDIA,Expedia,
ExpressShuttle				EXPRESS_SHUTTLE,Express_Shuttle,
ExtendedStay				EXTENDEDSTAY,Extendedstay,
ExtremeCoup				EXTREMECOUP,
ExxonMobil				EXXONMOBIL,Exxonmobil,
F&BNassau				Smg_F&b_Nassau_Col,
F&MItaly				F_&_M_ITALY_SARL,
FAOSchwarz				FAO_SCHWARZ,
FED_WIRE_CREDIT				FED_WIRE_CREDIT,
FEE:_INCOMING_DOMESTIC_WIRE		FEE:_INCOMING_DOMESTIC_WIRE,
FNALDayCare				Online_Payment_3296732815_To_Fer,To_Fer,
FOREIGN_REMITTANCE_CREDIT		FOREIGN_REMITTANCE_CREDIT_B/O:_F,
FWCLicenseSales				FWC_LICENSE_SALES,
FacheIndustries				FACHE_INDUSTRIES,
FactoryBrandShoes			MC-FACTORY_BRN_SHS,
FactoryCardOutlet			FACTORY_CARD_OUTLET,
FairOaks				FAIR_OAKS,
FairfieldInn				Fairfield_Inn,
FallenTimbers				Fallen_Timbers,
FamilyFoods				FAMILY_FOODS,FAMILY_FD_255,
FamousFamiglia				Famous_Famiglia_-_Lq66,
Fandango				FANDANGO.COM,
FantasticKids				FANTASTIC_KIDS,
FastFreshItalian			FAST_FRESH_ITALIAN,Fast_Fresh_Italian,
FedEx					FEDEXOFFICE,
FermiResearchHousing			FERMI_RESEARCH_HOUSING,
FermiWorkTravel				Fermi_Research_A_,
Fermilab				FERMI_NATIONAL_A_DIR_DEP,
FermilabCafe				MC-FERMI_LAB,FERMI_LABS_CAFE,Fermi_Labs_Cafe,
FermilabRecreation			FERMILAB_RECREATION,
FieldMuseum				FIELD_MUSEUM,
FigsCafe				Bcg@figs,Bcg_Figs_Cafe,
FinbarrsIrishPub			FINBARRS_IRISH_PUB_,
FirewoodCafe				FIREWOOD_CAFE,
FirstMidwestBank			FEDWIRE_DEBIT_VIA:_FST_MDWST_MOL,
Flavours				Flavours_GE,
FlossmoreStation			FLOSSMOOR_STATION,
FlourBakery&Cafe			FLOUR_BAKERY_&_CAF_CAMBR,
FlughafenTerminal2Munich		FLUGHAFEN_TERMINAL_2__MUENCHEN,
FlyingJ					FLYING_J,
FoodCity				FOOD_CITY,
FoodMasters				FOODMASTERS,
FootwearDeckers				FOOTWEAR-DECKERS_CORP,
ForeignTransactionFee			FOREIGN_TRANSACTION_FEE,
ForestAkersGold				MC-MSU_FOREST_AKERS_GOLF,
ForeverFondue				FOREVER_FONDUE,
ForeverYogurt				FOREVER_YOGURT,
Fossil					FOSSIL,
FourMountainSports			FOUR-MOUNTAIN_SPORTS,
FoxAndHound				FOX_&_HOUND,
FoxValleyMall				4100_FOX_VALLEY_CENTERAURORA,
FranklyGourmet				FRANKLY_GOURME30402QPS,
FreshensOfCapeCod			FRESHENS_OF_CAPE_COD,
FrieldsOfTheZoo				FRIENDS_OF_THE_ZOO_QPS,
Friendlys				FRIENDLY_ICE_CREAM,
FrontStreetCantina			Front_Street_Cantina,FRONT_STREET_CANTINA,
FronteraGrill				FRONTERA_GRILL20258349,
Frontier				FRONTIER,
Fun4All					FUN4ALL,
FunThings				FUN_THINGS_ETC_LLC,
FungWahBus				FUNG_WAH_BUS,KING_WAH_EXPRESS,Fung_Wah_Bus_617-3381163_Ma,
FunivieDelPiccolo			FUNIVIE_DEL_PICCOLO,
GIORDANOS				GIORDANO'S,
GNC					GNC,
GalaxyStores				GALAXY_STORES,
Gap					GAP,Gap,225_MAIN_STR/225_MAIN_ST,
GardenerSupplyCo			Agr*gardener_Supply_Co,
GarnetHill				GARNET_HILL,
GasMart					Gas_Mart_38,
GatewayArch				GATEWAY_ARCH,
GatewayBakeShop				GATEWAY_BAKE_SHOP_TIM,
Geico					GEICO,Geico_,
Genesis					GENESIS,
Geordanes				Geordanes,
GermanGuyInHarlem			GermanGuyInHarlem
Getty					Getty_58295001,
GettyOil				GETTY_,
GiantFood				GIANT_FOOD,
GimmeCoffee				GIMME_COFFEE,
GinnysHallmark				GINNY'S_HALLMARK,
Giordanos				GIORDANOS,
GlassHalfFull				Glass_Half_Full,
GloriousBritain				GLORIOUS_BRITAIN,
GoGoAir					GOGOAIR.COM,
GoRoma					GO_ROMA,
GoebbertsFarm				GOEBBERTS_FARM_AND_GAR,
GoldenAgeCollectable			GOLDEN_AGE_COLLECTABLE,
Goodies					GOODIES,
GoodmanTheatre				GOODMAN_THEATRE,Goodman_Theatre,
GoodyearAutoServiceCenter		GOODYEAR_AUTO_SVS_CTR,
GooseIsland				GOOSE_ISLAND,
Gotskinds				GOTSKINDS_NAPERVILLE_I,GOTSKINDS_SHOES_AND_CL,Gotskind's_Shoes_&_Clo,
GourmetBurgerBistro			GOURMET_BURGER_BISTRO,Gourmet_Burger_Bistro,
GovernmentCenterParking			GOVERNMENT_CENTER,Government_Center,
GraceHarold				To_Gra,
GraceHsu				GraceHsu
GraciesCorn				GRACIESCORN,
GrainAndWineSpirit			GRAIN_AND_VINE_SPIRIT,
GreatAMSteak				GREAT_AM_STEAK_&_POQ02,
GreatAmericanBagel			GREAT_AMER_BAG20251302,
GreatClips				GREAT_CLIPS,
GreatHarvest				GREAT_HARVEST,
GreenCactusGrill			GREEN_CACTUS_GRILL_OF,GREEN_CACTUS_GRILL_QPS,
GreenLeafeCafe				Green_Leafe_Cafe,
GreenPeaceUSA				GREENPEACE_USA,
Greenberrys				GREENBERRY'S,
Greyhound				Gli*greyhoundlines1508_214-849-8966_Tx,
GringosCantina				GRINGOS_CANTINA_INC,
Groupon					GROUPON_INC,
Guggenheim				GUGGENHEIM,
GulfOil					GULF,Gulf_Oil,
Gymboree				GYMBOREE,
HLAAWalk4Hearing			HLAA_WALK4HEARING,
HMS					HMS_SCHIPHOL,HMS_HOST,HMSHOST,Hms_Host,Hmshost-lax-air,
HSBC					HSCB-EMPTYPAYEE,
HSBCDirect				HSBC_DIRECT,
HSBCInterestPaid			HSBC-INTEREST_PAID,HSBCInterestPaid,
HSBCTransfer				HSBC-ONLINE-TRANSFER,HSBC_ONLINE,Hsbc_Online,HSBCOnlineTransfer,HSBCTransfer,
HaagenDazs				HAAGEN_DAZS,
HaakonsHall				HAAKON'S_HALL,
HairCuttery				HAIR_CUTTERY,
HairCutty				Hair_Cuttery,
HamptonInn				HAMPTON_INN_GERMNTWN12,HAMPTON_INN_NEWPORT_NE,
HannaAndersson				HANNA_ANDERSSON,
Hannaford				Hannaford,
Hardees					Hardees,HARDEE'S_1500717,
HartleyPharmacy				Hartley_Pharmacy,
HavanaCentral				Havana_Central_At_The_New_York_Ny,Havana_Central_At_The,
HeavonOnSeven				HEAVEN_ON_SEVEN_NAPERV,Heaven_On_7_Napervi,
Heifer					HEIFER_INT,
Heights					HEIGHTS_BAR_GRILL,
HeightsBarAndGrill			Heights_Bar_Grill,
Hess					HESS,
HighEnergyBoutique			High_Energy_Boutique,
HiltonHotel				HILTON_HOTELS,HILTON_HOTEL_ROCKVILLE,
HolidayInn				HOLIDAY_INN_EXPRESS_CO,
HollywoodPalmsCinema			HOLLYWOOD_PALMS_CINEMA,
HomeDepot				THE_HOME_DEPOT,
HomeMortagePayment			WF_HOME_MTG,
Homegoods				HOMEGOODS,
Honda					HONDA,
HoneyDewDonuts				Honey_Dew_Donuts,
HotelDiStefano				HOTEL_DI_STEFANO,
HotelMuencher				MC-HOTEL_MUENCHNER_HOF,
Hotels.com				HOTELS.COM,
HoundDogs				HOUND_DOGS,
HouseDownPayementInterest		INTEREST_PAID_FROM,
HouseDownPayment			House_Down_Payment,
HoweTravelPlaza				HOWE_TRAVEL_PLAZA,
HudsonNews				HUDSON_NEWS,Hudson_News_O'hare_Jv,Hudson_News-_Los_Angel,Hudson_News_Ph_68,Hudsonams_Aei_Jfk_Ter2,HUDSON-KEELEE_JFK_7_JV,
HumanRightsCampaign			HUMAN_RTS_CAMPAIGN_WEB,
HunanBalcony				Hunan_Balcony,Hunan_Balcony_2128650400_Ny,
HuntingtonCountryInn			Huntington_Country_Inn,
HyannisSportscards			HYANNIS_SPORTSCARDS_IN,
Hyatt					HYATT_HOTEL,
HyattRegency				Hyatt_Regency_Riverfro,
IKEA					IKEA_,Ikea,
IMURiverRoom				IMU_RIVER_ROOM,
INCOMING_DOMESTIC_WIRE_FEE		INCOMING_DOMESTIC_WIRE_FEE,
INCOMING_FOREIGN_WIRE_FEE		INCOMING_FOREIGN_WIRE_FEE,
INTEREST_CHARGE_REVERSAL		INTEREST_CHARGE_REVERSAL,
IPASS					IPASS_AUTOREPLENISH,
IPass					I-PASS,
IQFresh					UOFA_IQ_FRESH,
